Id,MS Zoning,Lot Frontage,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,Year Built,Roof Matl,Exterior 1st,Mas Vnr Type,Mas Vnr Area,Exter Qual,Foundation,Bsmt Qual,BsmtFin SF 1,BsmtFin SF 2,Total Bsmt SF,Heating QC,Central Air,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplace Qu,Garage Type,Garage Area,Garage Qual,Paved Drive,Wood Deck SF,Fence,Yr Sold,SalePrice
109,RL,70.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,1976,CompShg,HdBoard,BrkFace,289.0,Gd,CBlock,TA,533.0,0.0,725.0,Ex,Y,1479,0.0,0.0,2,1,1,Gd,6,NFP,Attchd,475.0,TA,Y,0,NF,2010,130500
544,RL,43.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,1996,CompShg,VinylSd,BrkFace,132.0,Gd,PConc,Gd,637.0,0.0,913.0,Ex,Y,2122,1.0,0.0,2,1,1,Gd,8,TA,Attchd,559.0,TA,Y,0,NF,2009,220000
153,RL,68.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1953,CompShg,VinylSd,None,0.0,TA,CBlock,TA,731.0,0.0,1057.0,TA,Y,1057,1.0,0.0,1,0,1,Gd,5,NFP,Detchd,246.0,TA,Y,0,NF,2010,109000
318,RL,73.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2006,CompShg,VinylSd,None,0.0,TA,PConc,Gd,0.0,0.0,384.0,Gd,Y,1444,0.0,0.0,2,1,1,TA,7,NFP,BuiltIn,400.0,TA,Y,100,NF,2010,174000
255,RL,82.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1900,CompShg,Wd Sdng,None,0.0,TA,PConc,Fa,0.0,0.0,676.0,TA,Y,1445,0.0,0.0,2,0,1,TA,6,NFP,Detchd,484.0,TA,N,0,NF,2010,138500
138,RL,137.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1966,CompShg,BrkFace,None,0.0,Gd,CBlock,TA,247.0,713.0,1517.0,Ex,Y,1888,0.0,0.0,2,1,1,Gd,6,Gd,Attchd,578.0,TA,Y,0,NF,2010,190000
2827,RM,35.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,2005,CompShg,VinylSd,BrkFace,82.0,TA,PConc,Gd,547.0,0.0,547.0,Gd,Y,1072,1.0,0.0,2,0,1,TA,5,NFP,Basment,525.0,TA,Y,0,NF,2006,140000
145,RL,72.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1959,CompShg,Plywood,BrkFace,180.0,TA,CBlock,TA,1000.0,0.0,1188.0,Fa,Y,1188,1.0,0.0,1,0,1,TA,6,NFP,Attchd,531.0,TA,Y,0,MnPrv,2010,142000
1942,RL,60.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1952,CompShg,Wd Sdng,None,0.0,TA,CBlock,TA,292.0,0.0,924.0,TA,Y,924,0.0,0.0,1,0,1,TA,6,NFP,Detchd,420.0,TA,Y,0,MnPrv,2007,112500
1956,RL,70.0,Pave,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,1969,CompShg,Plywood,BrkFace,192.0,TA,PConc,Gd,650.0,0.0,1040.0,TA,Y,2080,0.0,1.0,1,2,1,Fa,9,TA,Attchd,504.0,TA,Y,335,NF,2007,135000
